year,decade,unique_words,density,unique_words_raw,density_raw,nouns,verbs,adjectives,syllables,most_used_term,most_used_freq,curses,total_curses,reading_score,sentiment,charted
1967,1960,44,110,72,220,34,47,43,79,lovin,12,0,0,2.93727272727,0.9922,1
1967,1960,53,88,58,103,57,5,25,82,que,6,0,0,6.48217475728,0.0,0
1967,1960,36,60,69,164,22,52,6,73,cri,8,0,0,2.78243902439,0.25,0
1967,1960,37,192,59,441,23,222,5,63,love,79,0,0,4.67571428571,0.9999,1
1967,1960,45,74,72,128,25,33,10,77,morn,10,0,0,3.8484375,0.4019,0
1967,1960,45,73,76,184,23,57,7,77,know,6,0,0,2.85804347826,0.872,0
1967,1960,63,115,98,201,64,23,21,123,la,10,0,0,5.53089552239,0.967,1
1967,1960,64,96,92,180,34,43,22,110,oh,8,0,0,5.13111111111,0.9944,1
1967,1960,86,126,132,258,76,42,15,150,said,7,0,0,5.95046511628,0.4939,1
1967,1960,32,84,50,173,42,38,5,53,like,21,0,0,1.14502890173,0.9968,0
1967,1960,39,62,70,136,29,19,15,69,come,7,0,0,2.73676470588,0.8625,1
1967,1960,29,57,56,141,32,28,12,57,world,6,0,0,1.91021276596,0.9943,1
1967,1960,66,102,111,283,45,58,20,118,world,5,0,0,4.79014134276,0.9921,1
1967,1960,26,45,57,127,27,19,5,61,world,9,0,0,2.41771653543,0.9806,0
1967,1960,35,50,63,134,20,35,7,63,love,7,0,0,2.29776119403,0.9878,0
1967,1960,49,96,77,192,56,32,19,79,littl,15,0,0,2.77520833333,0.8885,1
1967,1960,54,144,85,315,62,82,21,91,babi,15,0,0,3.66888888889,0.9985,1
1967,1960,45,112,71,231,55,53,34,82,dream,15,0,0,2.88874458874,0.989,1
1967,1960,51,89,84,214,34,43,22,90,oh,8,0,0,3.27261682243,-0.8176,1
1967,1960,51,117,79,244,70,58,21,88,tonight,12,0,0,3.34573770492,0.986,1
